Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,12950.2197265625,12950.2197265625,12537.419921875,12694.66015625,6546740000,0,0
2021-01-05,12663.1298828125,12809.669921875,12663.1298828125,12802.3798828125,6904420000,0,0
2021-01-06,12601.259765625,12803.2900390625,12569.419921875,12623.349609375,7648340000,0,0
2021-01-07,12745.41015625,12966.6796875,12744.8203125,12939.5703125,6777010000,0,0
2021-01-08,13037.240234375,13113.08984375,12939.73046875,13105.2001953125,7223660000,0,0
2021-01-11,12961.5,13023.2099609375,12883.58984375,12902.490234375,6876420000,0,0
2021-01-12,12916.099609375,12957.4296875,12783.7099609375,12892.08984375,7181380000,0,0
2021-01-13,12911.8701171875,13008.849609375,12878.01953125,12973.6298828125,7072920000,0,0
2021-01-14,13010.9404296875,13037.0498046875,12886.16015625,12898.6904296875,6671090000,0,0
2021-01-15,12898.08984375,12941.2900390625,12758.099609375,12803.9296875,6402970000,0,0
2021-01-19,12921.6103515625,13012.08984375,12861.2998046875,12996.5400390625,6229100000,0,0
2021-01-20,13155.1201171875,13332.259765625,13138.2998046875,13296.4501953125,6771630000,0,0
2021-01-21,13356.7001953125,13433.6904296875,13297.7900390625,13404.990234375,7183390000,0,0
2021-01-22,13356.1796875,13404.76953125,13336.900390625,13366.400390625,5931240000,0,0
2021-01-25,13515.6298828125,13563.7001953125,13205.58984375,13483.2900390625,7139410000,0,0
2021-01-26,13507.4697265625,13536.2998046875,13440.3203125,13490.1904296875,6781460000,0,0
2021-01-27,13371.16015625,13393.509765625,13034.1396484375,13112.650390625,11102160000,0,0
2021-01-28,13163.3203125,13401.849609375,13150.099609375,13201.5302734375,9823150000,0,0
2021-01-29,13124.7001953125,13167.8701171875,12845.4296875,12925.3798828125,7809670000,0,0
2021-02-01,13067.650390625,13280.2197265625,12983.099609375,13248.900390625,7014220000,0,0
2021-02-02,13371.3701171875,13501.23046875,13363.759765625,13456.1201171875,7240220000,0,0
2021-02-03,13555.0302734375,13561.4501953125,13400.080078125,13402.3701171875,7465240000,0,0
2021-02-04,13454.849609375,13563.1298828125,13406.4404296875,13560.8896484375,7218680000,0,0
2021-02-05,13592.76953125,13642.9599609375,13527.8095703125,13603.9599609375,6697720000,0,0
2021-02-08,13672.330078125,13698.41015625,13607.9599609375,13695.01953125,8439940000,0,0
2021-02-09,13667.1396484375,13741.7900390625,13664.7001953125,13687.080078125,8658980000,0,0
