Date,Open_NASDAQ,High_NASDAQ,Low_NASDAQ,Close_NASDAQ,Volume_NASDAQ,Dividends_NASDAQ,Stock Splits_NASDAQ,Open_Tesla,High_Tesla,Low_Tesla,Close_Tesla,Volume_Tesla,Dividends_Tesla,Stock Splits_Tesla
2021-01-04,12950.2197265625,12950.2197265625,12537.419921875,12694.66015625,6546740000,0,0,719.4600219726562,744.489990234375,717.1900024414062,729.77001953125,48638200,0,0
2021-01-05,12663.1298828125,12809.669921875,12663.1298828125,12802.3798828125,6904420000,0,0,723.6599731445312,740.8400268554688,719.2000122070312,735.1099853515625,32245200,0,0
2021-01-06,12601.259765625,12803.2900390625,12569.419921875,12623.349609375,7648340000,0,0,758.489990234375,774.0,749.0999755859375,755.97998046875,44700000,0,0
2021-01-07,12745.41015625,12966.6796875,12744.8203125,12939.5703125,6777010000,0,0,777.6300048828125,816.989990234375,775.2000122070312,816.0399780273438,51498900,0,0
2021-01-08,13037.240234375,13113.08984375,12939.73046875,13105.2001953125,7223660000,0,0,856.0,884.489990234375,838.3900146484375,880.02001953125,75055500,0,0
2021-01-11,12961.5,13023.2099609375,12883.58984375,12902.490234375,6876420000,0,0,849.4000244140625,854.4299926757812,803.6199951171875,811.1900024414062,59301600,0,0
2021-01-12,12916.099609375,12957.4296875,12783.7099609375,12892.08984375,7181380000,0,0,831.0,868.0,827.3400268554688,849.4400024414062,46270700,0,0
2021-01-13,12911.8701171875,13008.849609375,12878.01953125,12973.6298828125,7072920000,0,0,852.760009765625,860.469970703125,832.0,854.4099731445312,33312500,0,0
2021-01-14,13010.9404296875,13037.0498046875,12886.16015625,12898.6904296875,6671090000,0,0,843.3900146484375,863.0,838.75,845.0,31266300,0,0
2021-01-15,12898.08984375,12941.2900390625,12758.099609375,12803.9296875,6402970000,0,0,852.0,859.9000244140625,819.0999755859375,826.1599731445312,38777600,0,0
2021-01-19,12921.6103515625,13012.08984375,12861.2998046875,12996.5400390625,6229100000,0,0,837.7999877929688,850.0,833.0,844.5499877929688,25367000,0,0
2021-01-20,13155.1201171875,13332.259765625,13138.2998046875,13296.4501953125,6771630000,0,0,858.739990234375,859.5,837.280029296875,850.4500122070312,25665900,0,0
2021-01-21,13356.7001953125,13433.6904296875,13297.7900390625,13404.990234375,7183390000,0,0,855.0,855.719970703125,841.4199829101562,844.989990234375,20521100,0,0
2021-01-22,13356.1796875,13404.76953125,13336.900390625,13366.400390625,5931240000,0,0,834.3099975585938,848.0,828.6199951171875,846.6400146484375,20066500,0,0
2021-01-25,13515.6298828125,13563.7001953125,13205.58984375,13483.2900390625,7139410000,0,0,855.0,900.4000244140625,838.8200073242188,880.7999877929688,41173400,0,0
