datetime,content,like,retweet,comment
2021-03-31 19:23:17+00:00,"Over 10,000 people are needed for Giga Texas just through 2022!
- 5 mins from airport
-15 mins from downtown
- Right on Colorado river",101.6K,False,7.7K
2021-03-23 01:14:58+00:00,Strongest argument against aliens,450.2K,False,13K
2021-03-20 09:21:38+00:00,Music in zero gravity,382.2K,False,10.9K
2021-03-19 02:40:07+00:00,8.3K,334.8K,False,8.3K
2021-03-13 23:40:41+00:00,Doge day afternoon,171.9K,False,7.1K
2021-03-13 23:32:59+00:00,Woketopia. Battle for the Moral High Ground in this new game!,107.9K,False,3.7K
2021-03-13 07:20:23+00:00, This Magic Moment ,226.9K,False,8.9K
2021-03-12 23:51:00+00:00,"FSD Beta has now been expanded to ~2000 owners & we’ve also revoked beta where drivers did not pay sufficient attention to the road. No accidents to date.

Next significant release will be in April. Going with pure vision — not even using radar. This is the way to real-world AI.",23.1K,False,1.4K
2021-03-03 20:10:07+00:00,5 mins to Starship test flight attempt,193K,False,8.4K
2021-03-03 11:59:08+00:00,March 3rd,86.7K,False,2.2K
2021-03-03 11:30:39+00:00,Starship launch tomorrow. Window opens at 9am.,237.5K,False,6.7K
2021-02-25 05:15:02+00:00,"Out on launch pad, engine swap underway",179K,False,6.3K
2021-02-25 01:25:56+00:00,You might see much higher download speeds on Starlink at times. Testing system upgrades.,203.4K,False,7.2K
2021-02-24 20:43:20+00:00,The ,37.4K,True,1.2K
2021-02-14 23:25:16+00:00,"If major Dogecoin holders sell most of their coins, it will get my full support. Too much concentration is the only real issue imo.",322.7K,False,27.7K
2021-02-13 21:19:38+00:00,было бы большой честью поговорить с вами,89.1K,False,5.5K
2021-02-13 21:07:38+00:00,.,188K,False,13.7K
2021-02-16 15:51:30+00:00,Winter at Giga Texas,131.6K,True,4.7K
2021-02-16 05:05:47+00:00,Deployment of 60 Starlink satellites confirmed,155K,True,5K
2021-02-15 10:05:59+00:00,I will literally pay actual $ if they just void their accounts,121.2K,False,8K
2021-02-15 09:52:37+00:00,11.3K,817.6K,False,11.3K
2021-02-14 23:25:16+00:00,"If major Dogecoin holders sell most of their coins, it will get my full support. Too much concentration is the only real issue imo.",322.7K,False,27.7K
2021-02-13 21:19:38+00:00,было бы большой честью поговорить с вами,89.1K,False,5.5K
2021-02-13 21:07:38+00:00,.,188K,False,13.7K
