,Date,Open_NASDAQ,High_NASDAQ,Low_NASDAQ,Close_NASDAQ,Volume_NASDAQ,Dividends_NASDAQ,Stock Splits_NASDAQ,Open_Tesla,High_Tesla,Low_Tesla,Close_Tesla,Volume_Tesla,Dividends_Tesla,Stock Splits_Tesla,Increase_rate_nasdaq,Increase_rate_tesla,Excess_increase_rate
61,2021-04-01,13268.8798828125,13333.41015625,13255.8203125,13329.51953125,4553470000,0,0,688.3699951171875,692.4199829101562,659.4199829101562,661.75,35298400,0,0,0.01818585990145194,-0.009252455711748597,-0.027438315613200537
88,2021-05-11,13102.6396484375,13381.66015625,13094.759765625,13351.26953125,4719720000,0,0,599.239990234375,627.0999755859375,595.5999755859375,617.2000122070312,46503900,0,0,-0.0005846620298196603,-0.018822278764288325,-0.018237616734468665
97,2021-05-24,13504.3896484375,13687.6103515625,13500.1201171875,13641.75,3490650000,0,0,581.5999755859375,614.47998046875,573.6500244140625,606.4400024414062,34558100,0,0,0.01714988223791214,0.0440021989804078,0.026852316742495663
124,2021-07-01,14530.6298828125,14576.6396484375,14483.419921875,14560.0498046875,4371620000,0,0,683.9199829101562,687.989990234375,672.7999877929688,677.9199829101562,18634500,0,0,0.0003607057513981271,-0.0026188454684518137,-0.0029795512198499408
29,2021-02-16,13841.0302734375,13879.76953125,13726.7802734375,13773.76953125,7646300000,0,0,818.0,821.0,792.4400024414062,796.219970703125,19802300,0,0,-0.0024573725951856362,-0.024383699128955993,-0.021926326533770357
48,2021-03-15,12936.1298828125,13085.009765625,12885.6396484375,13082.5400390625,5933440000,0,0,694.0900268554688,713.1799926757812,684.0399780273438,707.9400024414062,29335600,0,0,0.011227235345380393,0.02048350564733359,0.009256270301953196
