timestamp,open,high,low,close,volume
1635699900000,0.2613,0.2615,0.2606,0.261,1342749.0
1635699960000,0.2609,0.2614,0.2606,0.2612,884469.0
1635700020000,0.2613,0.2613,0.2606,0.2606,1246139.0
1635700080000,0.2606,0.2607,0.2603,0.2605,834555.0
1635700140000,0.2605,0.2607,0.2601,0.2606,1345675.0
1635700200000,0.2605,0.2607,0.2603,0.2606,504994.0
1635700260000,0.2607,0.2609,0.2601,0.2606,1643824.0
1635700320000,0.2607,0.2613,0.2605,0.261,2251388.0
1635700380000,0.261,0.2613,0.2606,0.2607,1234097.0
1635700440000,0.2608,0.2611,0.2606,0.2609,486046.0
1635700500000,0.2609,0.2609,0.2604,0.2608,450568.0
1635700560000,0.2608,0.2616,0.2607,0.2614,696054.0
1635700620000,0.2615,0.2619,0.2614,0.2617,1891958.0
1635700680000,0.2617,0.2619,0.2616,0.2618,849455.0
1635700740000,0.2618,0.2622,0.2617,0.2621,776620.0
1635700800000,0.2622,0.2623,0.2617,0.262,921654.0
1635700860000,0.262,0.2622,0.2619,0.262,1207659.0
1635700920000,0.2619,0.2622,0.2617,0.2622,432774.0
1635700980000,0.2621,0.2622,0.262,0.2621,611749.0
1635701040000,0.262,0.2627,0.262,0.2626,1597746.0
1635701100000,0.2626,0.2626,0.262,0.2624,2786575.0
1635701160000,0.2623,0.2626,0.2621,0.2624,950718.0
1635701220000,0.2625,0.2625,0.2619,0.262,695856.0
1635701280000,0.262,0.2622,0.262,0.2622,373539.0
1635701340000,0.2621,0.263,0.2618,0.2625,3514395.0
1635701400000,0.2626,0.2626,0.2622,0.2623,1154971.0
1635701460000,0.2623,0.2632,0.2623,0.2632,1581679.0
1635701520000,0.2631,0.2642,0.2631,0.2641,2856589.0
1635701580000,0.2641,0.2643,0.2632,0.2635,3460926.0
1635701640000,0.2635,0.2635,0.2625,0.2627,1477914.0
1625130540000,0.25364,0.254,0.25222,0.25239,6035264.4
1625130600000,0.25237,0.25282,0.25126,0.2525,7266679.3
1625130660000,0.25248,0.25248,0.25131,0.25134,4108536.5
1625130720000,0.25134,0.252,0.25094,0.25146,5620477.0
1625130780000,0.25148,0.25249,0.2511,0.2517,6973251.9
1625130840000,0.25171,0.25224,0.25082,0.25088,3946652.3
1625130900000,0.25088,0.25159,0.24942,0.24979,7396122.7
1625130960000,0.24985,0.25024,0.2483,0.24861,9211411.4
1625131020000,0.24861,0.24933,0.2485,0.24874,4944326.9
1625131080000,0.24871,0.24903,0.2472,0.248,8931121.4
1625131140000,0.24796,0.24868,0.24742,0.24817,4729265.1
1625131200000,0.24816,0.24876,0.24756,0.24819,2924458.3
1625131260000,0.24819,0.24898,0.24792,0.2489,3935377.3
1625131320000,0.24888,0.24899,0.24782,0.24808,5080777.3
1625131380000,0.24813,0.24884,0.24761,0.24789,3700216.2
1625131440000,0.24783,0.2614,0.24645,0.25362,64371166.7
1625131500000,0.2532,0.25709,0.24823,0.25673,47321813.1
1625131560000,0.25677,0.2575,0.25309,0.25452,42665194.0
1625131620000,0.25449,0.255,0.25243,0.25372,19887253.6
1625131680000,0.25362,0.25499,0.25305,0.2531,12264202.2
1625131740000,0.25311,0.25472,0.25286,0.25432,13799811.3
1625131800000,0.25431,0.25463,0.25304,0.25366,10387714.5
1625131860000,0.25367,0.25412,0.25335,0.25412,9125228.1
1625131920000,0.25411,0.25536,0.25372,0.25487,10216942.6
1625131980000,0.25487,0.25755,0.25451,0.25676,15170380.8
1625132040000,0.25671,0.25724,0.25586,0.25659,13294108.5
1625132100000,0.25659,0.2572,0.25518,0.25547,11090977.9
1625132160000,0.25546,0.25589,0.25439,0.25538,9271972.5
1625132220000,0.25537,0.2554,0.2545,0.25487,4940889.9
1625132280000,0.25488,0.25507,0.25337,0.25398,7850802.3
1625128080000,0.24007,0.24063,0.24004,0.24034,1016232.6
1625128140000,0.24027,0.24042,0.2401,0.24027,215139.5
1625128200000,0.24023,0.24023,0.23972,0.23977,679577.8
1625128260000,0.23978,0.23986,0.23943,0.23956,701337.0
1625128320000,0.23956,0.23958,0.2394,0.23956,273164.0
1625128380000,0.23955,0.23955,0.23905,0.2391,859935.7
1625128440000,0.23909,0.23946,0.23873,0.23936,2659066.7
1625128500000,0.2394,0.23971,0.23907,0.23924,619447.2
1625128560000,0.23919,0.24007,0.2391,0.23991,517155.7
1625128620000,0.23986,0.24031,0.23962,0.23989,775851.3
1625128680000,0.23988,0.23998,0.23947,0.23973,549353.8
